D,W,Time
5,5,0.22962
5,15,0.767572
5,25,1.27385
5,35,1.79332
5,45,2.3055
5,55,2.84238
5,65,3.36887
5,75,3.85625
5,85,4.45545
5,95,4.8913
10,5,0.504449
10,15,1.67828
10,25,2.85913
10,35,4.01952
10,45,5.18221
10,55,6.33951
10,65,7.59984
10,75,8.91401
10,85,9.92149
10,95,11.0789
