D,W,Time
5,5,0.00795292
5,15,0.0143523
5,25,0.0209709
5,35,0.0273414
5,45,0.0338143
5,55,0.0397283
5,65,0.0460278
5,75,0.0522361
5,85,0.0588092
5,95,0.0651961
10,5,0.0161983
10,15,0.033007
10,25,0.0504545
10,35,0.0684862
10,45,0.0866544
10,55,0.101046
10,65,0.121283
10,75,0.138578
10,85,0.155743
10,95,0.17203
