D,W,Time
2,2,0.0111046
2,5,0.0471519
2,8,0.108139
2,11,0.192965
2,14,0.303123
2,17,0.433029
2,20,0.589676
2,23,0.769958
2,26,0.972558
2,29,1.20605
4,2,0.0565681
4,5,2.13332
4,8,6.06527
4,11,13.4749
4,14,21.9008
4,17,36.2836
4,20,49.782
