D,W,Time
2,2,0.0023703
2,5,0.00677296
2,8,0.0135556
2,11,0.0230649
2,14,0.0350648
2,17,0.0494711
2,20,0.0665866
2,23,0.086265
2,26,0.108978
2,29,0.13559
4,2,0.0118675
4,5,0.306754
4,8,0.812488
4,11,1.63901
4,14,2.7901
4,17,4.19243
4,20,6.11501
4,23,8.26531
4,26,10.8381
4,29,13.1201
