D,W,Time
5,5,0.138658
5,15,0.396049
5,25,0.67669
5,35,0.917878
5,45,1.16655
5,55,1.42895
5,65,1.68785
5,75,1.94625
5,85,2.19733
5,95,2.44872
10,5,0.284899
10,15,0.886548
10,25,1.50033
10,35,2.06608
10,45,2.66739
10,55,3.23064
10,65,3.91132
10,75,4.51573
10,85,5.03459
10,95,5.62075
