D,W,Time
2,2,0.00561603
2,5,0.0124519
2,8,0.024959
2,11,0.0426231
2,14,0.0661966
2,17,0.0939955
2,20,0.131668
2,23,0.164949
2,26,0.216167
2,29,0.258956
4,2,0.0347785
4,5,0.526876
4,8,1.06206
4,11,1.92876
4,14,3.059
4,17,4.49947
4,20,6.10882
4,23,8.14741
4,26,10.2147
