EXTERNAL,INTERNAL,Time
6005,8505,0.540692
6005,9005,0.536915
6005,9505,0.544633
6505,5,0.224478
6505,505,0.241883
6505,1005,0.266366
6505,1505,0.280033
6505,2005,0.29377
6505,2505,0.31407
6505,3005,0.331191
6505,3505,0.347715
6505,4005,0.365518
6505,4505,0.382363
6505,5005,0.399984
6505,5505,0.428639
6505,6005,0.443155
6505,6505,0.454591
6505,7005,0.475752
6505,7505,0.488294
6505,8005,0.525828
6505,8505,0.534014
6505,9005,0.551781
6505,9505,0.571789
7005,5,0.250665
7005,505,0.256363
7005,1005,0.281492
7005,1505,0.294038
7005,2005,0.310984
7005,2505,0.328094
7005,3005,0.345009
7005,3505,0.371571
7005,4005,0.38844
7005,4505,0.39907
7005,5005,0.416969
7005,5505,0.43865
7005,6005,0.464089
7005,6505,0.480528
7005,7005,0.48869
7005,7505,0.506259
7005,8005,0.527401
7005,8505,0.548263
