EXTERNAL,INTERNAL,Time
4005,9005,0.902099
4005,9505,0.94112
4505,5,0.323355
4505,505,0.355217
4505,1005,0.392016
4505,1505,0.425454
4505,2005,0.457133
4505,2505,0.49385
4505,3005,0.528809
4505,3505,0.565575
4505,4005,0.599293
4505,4505,0.628779
4505,5005,0.670444
4505,5505,0.695064
4505,6005,0.746108
4505,6505,0.790614
4505,7005,0.838015
4505,7505,0.85155
4505,8005,0.870906
4505,8505,0.933856
4505,9005,0.964921
4505,9505,1.0343
5005,5,0.372143
5005,505,0.393617
5005,1005,0.443828
5005,1505,0.473053
5005,2005,0.498962
5005,2505,0.545725
5005,3005,0.627616
5005,3505,0.6215
5005,4005,0.678228
5005,4505,0.686623
5005,5005,0.738237
5005,5505,0.739773
5005,6005,0.793286
5005,6505,0.79781
5005,7005,0.834999
5005,7505,0.873237
5005,8005,0.917346
5005,8505,0.971105
5005,9005,0.986184
5005,9505,1.00287
5505,5,0.38993
5505,505,0.423949
5505,1005,0.466476
5505,1505,0.499528
5505,2005,0.540788
5505,2505,0.560833
5505,3005,0.600148
5505,3505,0.628733
5505,4005,0.659004
5505,4505,0.704421
5505,5005,0.747938
5505,5505,0.793328
5505,6005,0.823221
5505,6505,0.856273
5505,7005,0.868276
5505,7505,0.89861
5505,8005,0.957564
5505,8505,0.965872
5505,9005,0.999531
5505,9505,1.06861
6005,5,0.425501
6005,505,0.46353
6005,1005,0.491812
6005,1505,0.526465
6005,2005,0.583177
6005,2505,0.607241
6005,3005,0.641513
6005,3505,0.670407
6005,4005,0.711015
6005,4505,0.738693
6005,5005,0.793358
6005,5505,0.799367
6005,6005,0.847571
6005,6505,0.879815
6005,7005,0.921907
6005,7505,0.96044
6005,8005,0.990855
6005,8505,1.01426
6005,9005,1.0497
6005,9505,1.08195
6505,5,0.465604
6505,505,0.496739
6505,1005,0.533446
6505,1505,0.568623
6505,2005,0.597373
6505,2505,0.648962
6505,3005,0.672245
6505,3505,0.726493
6505,4005,0.729354
6505,4505,0.764626
6505,5005,0.798755
6505,5505,0.827953
6505,6005,0.916704
6505,6505,0.901117
6505,7005,0.976715
6505,7505,0.965443
6505,8005,0.998913
6505,8505,1.03445
6505,9005,1.06996
6505,9505,1.1191
7005,5,0.490165
7005,505,0.544136
7005,1005,0.573167
7005,1505,0.609178
7005,2005,0.628037
7005,2505,0.682656
7005,3005,0.69421
7005,3505,0.728907
7005,4005,0.763281
7005,4505,0.803277
7005,5005,0.833704
7005,5505,0.88528
7005,6005,0.907089
7005,6505,0.940217
7005,7005,0.969709
7005,7505,1.01054
7005,8005,1.04891
7005,8505,1.13813
7005,9005,1.11921
